t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2024-12-31","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","800","4000","3200"
"2024-12-31","Green Chilli","8299","Mahboob Manison","36","Telangana","536","Hyderabad","Green Chilly","5000","5500","5250"
"2024-12-31","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","4000","2500"
"2024-12-31","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2500","3500","3000"
"2024-12-30","Green Chilli","8299","Mahboob Manison","36","Telangana","536","Hyderabad","Green Chilly","3000","3500","3250"
"2024-12-30","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3500","2300"
"2024-12-30","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","3000","2500"
"2024-12-30","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","3000","2500"
"2024-12-29","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3500","2500"
"2024-12-29","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","2500","2000"
"2024-12-29","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","3000","2500"
"2024-12-28","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3000","2300"
"2024-12-28","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","500","2000","1600"
"2024-12-28","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","3000","2500"
"2024-12-28","Green Chilli","8299","Mahboob Manison","36","Telangana","536","Hyderabad","Green Chilly","2500","3500","3000"
"2024-12-28","Green Chilli","4294","Erragadda(Rythu Bazar)","36","Telangana","536","Hyderabad","Green Chilly","3500","3500","3500"
"2024-12-27","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","3000","2500"
"2024-12-27","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","3000","2500"
"2024-12-27","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1500","3200","2000"
"2024-12-26","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3000","2400"
"2024-12-26","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","3000","2500"
"2024-12-26","Green Chilli","8299","Mahboob Manison","36","Telangana","536","Hyderabad","Green Chilly","3750","3750","3750"
"2024-12-26","Green Chilli","4294","Erragadda(Rythu Bazar)","36","Telangana","536","Hyderabad","Green Chilly","3500","3500","3500"
"2024-12-26","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","3000","2500"
"2024-12-25","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","800","3000","2200"
"2024-12-25","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3500","2800"
"2024-12-25","Green Chilli","8299","Mahboob Manison","36","Telangana","536","Hyderabad","Green Chilly","3000","3500","3250"
"2024-12-25","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","2500","2200"
"2024-12-24","Green Chilli","8299","Mahboob Manison","36","Telangana","536","Hyderabad","Green Chilly","2500","3500","3000"
"2024-12-24","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","2500","2200"
"2024-12-24","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","2000","3000","2500"
"2024-12-24","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","3000","2500"
"2024-12-13","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1200","2200","1600"
"2024-12-13","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","600","2200","1600"
"2024-12-13","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","1500","2500","2000"
"2024-12-12","Green Chilli","4294","Erragadda(Rythu Bazar)","36","Telangana","536","Hyderabad","Green Chilly","2800","2800","2800"
"2024-12-12","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","2500","2000"
"2024-12-12","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1000","2000","1800"
"2024-12-12","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","1500","2500","2000"
"2024-12-11","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","600","2500","2000"
"2024-12-11","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","1500","2500","2000"
"2024-12-11","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1200","2200","1500"
"2024-12-10","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","1500","2500","2000"
"2024-12-10","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1300","2200","1600"
"2024-12-10","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","800","3000","2400"
"2024-12-09","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1000","2200","1500"
"2024-12-09","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","1500","2500","2000"
"2024-12-09","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","3000","2500"
"2024-12-08","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","2000","2500","2200"
"2024-12-08","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","3000","2500"
"2024-12-08","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1200","2200","1500"
"2024-12-07","Green Chilli","1119","Gudimalkapur","36","Telangana","536","Hyderabad","Green Chilly","1200","2200","1500"
"2024-12-07","Green Chilli","3815","L B Nagar","36","Telangana","536","Hyderabad","Green Chilly","1500","2500","2000"
"2024-12-07","Green Chilli","2046","Bowenpally","36","Telangana","536","Hyderabad","Green Chilly","1000","3000","2500"
