t,cmdty,state_id,state,market_id,market_name,state_name,district_id,district_name,qty
"2024-12-31","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","2.2"
"2024-12-31","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","54.4"
"2024-12-31","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","130.9"
"2024-12-31","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","22.8"
"2024-12-30","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","100.3"
"2024-12-30","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","3.2"
"2024-12-30","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","20"
"2024-12-30","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","41.2"
"2024-12-29","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","44.5"
"2024-12-29","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","21.4"
"2024-12-29","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","60.5"
"2024-12-28","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","51.8"
"2024-12-28","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","3.5"
"2024-12-28","Green Chilli","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","6.1"
"2024-12-28","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","18.3"
"2024-12-28","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","50"
"2024-12-27","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","73.9"
"2024-12-27","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","16"
"2024-12-27","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","46"
"2024-12-26","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","82.6"
"2024-12-26","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","2"
"2024-12-26","Green Chilli","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","4.9"
"2024-12-26","Green Chilli","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","14.5"
"2024-12-26","Green Chilli","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","48.6"
"2024-12-25","Green Chilli","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","128.4"
"2024-12-25","Green Chilli","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","3.5"
