t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2024-12-31","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","800","3000","2400"
"2024-12-31","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","1000","3700","2300"
"2024-12-31","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","3000","4300","3500"
"2024-12-31","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","500","2800","1800"
"2024-12-30","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","800","3500","2500"
"2024-12-30","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","1200","3500","2300"
"2024-12-29","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","3500","3000"
"2024-12-29","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","4000","2400"
"2024-12-29","Onion","3815","L B Nagar","36","Telangana","536","Hyderabad","1st Sort","3000","4000","3500"
"2024-12-28","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","400","2600","1800"
"2024-12-28","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","2800","3200","3200"
"2024-12-28","Onion","4294","Erragadda(Rythu Bazar)","36","Telangana","536","Hyderabad","1st Sort","3500","3500","3500"
"2024-12-28","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","500","3000","2400"
"2024-12-28","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","3500","2400"
"2024-12-27","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","2800","3800","3200"
"2024-12-27","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","500","2600","1800"
"2024-12-27","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","400","4000","2200"
"2024-12-27","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","800","3000","2400"
"2024-12-26","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","3000","2500"
"2024-12-26","Onion","4294","Erragadda(Rythu Bazar)","36","Telangana","536","Hyderabad","1st Sort","3500","3500","3500"
"2024-12-26","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","500","2600","1800"
"2024-12-26","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","3500","2000"
"2024-12-26","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","2800","3500","3000"
"2024-12-25","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","500","3200","1800"
"2024-12-25","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","800","3000","2200"
"2024-12-24","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","3000","2500"
"2024-12-24","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","500","2600","1800"
"2024-12-24","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","2800","3500","3000"
"2024-12-24","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","600","4000","1800"
"2024-12-13","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","5500","2400"
"2024-12-13","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","4000","3000"
"2024-12-12","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","500","5500","2600"
"2024-12-12","Onion","4294","Erragadda(Rythu Bazar)","36","Telangana","536","Hyderabad","1st Sort","4500","4500","4500"
"2024-12-12","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","4000","3000"
"2024-12-11","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","5500","2600"
"2024-12-11","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","5000","4000"
"2024-12-10","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","5000","4000"
"2024-12-10","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","5500","2700"
"2024-12-09","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","5000","2500"
"2024-12-09","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","2000","4000","3500"
"2024-12-08","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","4000","3000"
"2024-12-08","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","3500","2500"
"2024-12-07","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","4000","3000"
"2024-12-07","Onion","4294","Erragadda(Rythu Bazar)","36","Telangana","536","Hyderabad","1st Sort","4000","4000","4000"
"2024-12-07","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","1500","5000","2800"
"2024-12-06","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","3500","2800"
"2024-12-06","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","5000","2400"
"2024-12-05","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","5000","2500"
"2024-12-05","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","4000","3000"
"2024-12-05","Onion","4294","Erragadda(Rythu Bazar)","36","Telangana","536","Hyderabad","1st Sort","4000","4000","4000"
"2024-12-04","Onion","4294","Erragadda(Rythu Bazar)","36","Telangana","536","Hyderabad","1st Sort","4500","4500","4500"
"2024-12-04","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","5000","2500"
"2024-12-04","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","5000","3500"
"2024-12-03","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","4000","3000"
"2024-12-03","Onion","4294","Erragadda(Rythu Bazar)","36","Telangana","536","Hyderabad","1st Sort","4500","4500","4500"
"2024-12-03","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","5500","2700"
"2024-12-02","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","4000","3000"
"2024-12-02","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","600","5000","2300"
"2024-12-02","Onion","4294","Erragadda(Rythu Bazar)","36","Telangana","536","Hyderabad","1st Sort","4500","4500","4500"
"2024-12-01","Onion","4294","Erragadda(Rythu Bazar)","36","Telangana","536","Hyderabad","1st Sort","4500","4500","4500"
"2024-11-30","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","500","5000","2400"
"2024-11-30","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","5000","3500"
"2024-11-29","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","500","3500","2800"
"2024-11-29","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","4000","5600","4700"
"2024-11-29","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","4500","2500"
"2024-11-29","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","5000","4000"
"2024-11-28","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","3800","5700","4700"
"2024-11-28","Onion","3815","L B Nagar","36","Telangana","536","Hyderabad","1st Sort","4000","6000","5000"
"2024-11-28","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","5000","3500"
"2024-11-28","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","4500","2500"
"2024-11-28","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","500","3500","2800"
"2024-11-27","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","3800","5700","4700"
"2024-11-27","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","5000","2500"
"2024-11-27","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","500","3500","2800"
"2024-11-27","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","5000","3500"
"2024-11-26","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","5000","2500"
"2024-11-26","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","3800","5600","4400"
"2024-11-26","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","5000","4000"
"2024-11-26","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","500","3600","2800"
"2024-11-25","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","1000","3000","2000"
"2024-11-25","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","4000","3000"
"2024-11-25","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","3800","5600","4400"
"2024-11-25","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","500","3600","2800"
"2024-11-24","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1500","4000","3200"
"2024-11-24","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","600","4500","2400"
"2024-11-23","Onion","4294","Erragadda(Rythu Bazar)","36","Telangana","536","Hyderabad","1st Sort","4000","4000","4000"
"2024-11-23","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","600","3200","2800"
"2024-11-23","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","4500","2200"
"2024-11-23","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","3800","5400","4400"
"2024-11-23","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","4000","3000"
"2024-11-22","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","4000","3000"
"2024-11-22","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","700","4500","2200"
"2024-11-22","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","3800","5400","4400"
"2024-11-22","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","600","3200","2800"
"2024-11-21","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","500","3500","1500"
"2024-11-21","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","500","3200","2800"
"2024-11-21","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","3800","5000","4100"
"2024-11-20","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","4500","3500"
"2024-11-20","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","600","5000","2400"
"2024-11-20","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","600","3200","2600"
"2024-11-20","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","3800","5000","4100"
"2024-11-19","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","4000","3000"
"2024-11-19","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","500","3200","2600"
"2024-11-19","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","3800","5000","4100"
"2024-11-19","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","600","5000","2400"
"2024-11-18","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","600","3600","2600"
"2024-11-18","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","3800","4800","4000"
"2024-11-18","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","1000","4000","2500"
"2024-11-17","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","500","3500","2000"
"2024-11-16","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","3800","4800","4000"
"2024-11-16","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","500","4500","2000"
"2024-11-16","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","600","3600","2800"
"2024-11-15","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","3800","4600","4000"
"2024-11-15","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","600","3600","2600"
"2024-11-15","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","500","4000","2000"
"2024-11-14","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","600","3200","2800"
"2024-11-14","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","3800","4700","4200"
"2024-11-13","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","3500","2600"
"2024-11-13","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","600","3500","2600"
"2024-11-13","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","4000","5000","4400"
"2024-11-13","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","4800","2400"
"2024-11-12","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","3500","3000"
"2024-11-12","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","4800","2500"
"2024-11-11","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","500","3500","2800"
"2024-11-11","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","4000","5200","4400"
"2024-11-11","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","3000","2500"
"2024-11-11","Onion","4294","Erragadda(Rythu Bazar)","36","Telangana","536","Hyderabad","1st Sort","4000","4000","4000"
"2024-11-11","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","1500","5000","2500"
"2024-11-10","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","3000","2500"
"2024-11-10","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","900","4500","2400"
"2024-11-09","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","700","3500","2800"
"2024-11-09","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","5000","2300"
"2024-11-09","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","4000","5000","4400"
"2024-11-09","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","3000","2500"
"2024-11-08","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","1000","3500","3000"
"2024-11-08","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","500","3500","2800"
"2024-11-08","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","800","4000","2100"
"2024-11-08","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","4000","5000","4400"
"2024-11-07","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","2nd Sort","700","3500","2800"
"2024-11-07","Onion","2046","Bowenpally","36","Telangana","536","Hyderabad","1st Sort","800","3500","3000"
"2024-11-07","Onion","1119","Gudimalkapur","36","Telangana","536","Hyderabad","1st Sort","700","5000","2300"
"2024-11-07","Onion","8299","Mahboob Manison","36","Telangana","536","Hyderabad","1st Sort","4000","5000","4400"
