t,cmdty,state_id,state,market_id,market_name,state_name,district_id,district_name,qty
"2024-12-31","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","94.7"
"2024-12-31","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","16.2"
"2024-12-31","Potato","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","5"
"2024-12-31","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","217.6"
"2024-12-30","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","332.9"
"2024-12-30","Potato","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","1"
"2024-12-30","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","14.3"
"2024-12-30","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","135.1"
"2024-12-29","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","258.3"
"2024-12-29","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","15.4"
"2024-12-29","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","114.3"
"2024-12-28","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","378.8"
"2024-12-28","Potato","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","19.5"
"2024-12-28","Potato","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","15"
"2024-12-28","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","11.5"
"2024-12-28","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","172.8"
"2024-12-27","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","323.5"
"2024-12-27","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","32.8"
"2024-12-27","Potato","36","Telangana","1119","Gudimalkapur","Telangana","536","Hyderabad","100"
"2024-12-26","Potato","36","Telangana","2046","Bowenpally","Telangana","536","Hyderabad","459.8"
"2024-12-26","Potato","36","Telangana","8299","Mahboob Manison","Telangana","536","Hyderabad","56.3"
"2024-12-26","Potato","36","Telangana","4294","Erragadda(Rythu Bazar)","Telangana","536","Hyderabad","9.6"
"2024-12-26","Potato","36","Telangana","3815","L B Nagar","Telangana","536","Hyderabad","9.9"
